"",海拔高度,下降率,无线电高度,计算空速,地速,起落架,空地电门0.2秒,空地电门0.4秒,空地电门0.6秒,空地电门0.8秒,空地电门1秒,着陆G值0.1秒,着陆G值0.2秒,着陆G值0.3秒,着陆G值0.4秒,着陆G值0.5秒,着陆G值0.6秒,着陆G值0.7秒,着陆G值0.8秒,着陆G值0.9秒,着陆G值1秒,姿态（俯仰角）,姿态（俯仰角）.1,姿态（俯仰角）.2,姿态（俯仰角）.3,姿态（俯仰角）.4,杆量,杆量.1,杆量.2,杆量.3,杆量.4,坡度（左负右正）,坡度（左负右正）.1,盘量,盘量.1,盘量.2,盘量.3,盘量.4,左侧发动机油门N1值,右侧发动机油门N1值,磁航向,风向,风速,是否接通了A/T,是否接通了任意侧的A/P,左发油门杆位置（角度）,左发油门杆位置（角度）.1,右发油门杆位置（角度）,右发油门杆位置（角度）.1,RUDD位置,下滑道偏差（C）,下滑道偏差（L）,下滑道偏差（R）,航向道偏差（C）,航向道偏差（L）,航向道偏差（R）,俯仰角率
0,59,2,-8,30.0,12.50,1.0,0,0,0,0,0,1.0195,0.9844,1.0039,0.9883,1.0313,0.9961,1.0078,0.9922,0.9961,0.9844,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.8,13.7,37.375,0,0,33.9697,33.9697,34.1895,34.1895,-0.2617,-4.94,-5.39,-0.79,-1.31,-4.15,-2.07,0.0625
1,59,1,-8,30.0,12.75,1.0,0,0,0,0,0,1.0273,0.9648,0.9844,0.9727,1.0195,0.9805,0.9766,0.9961,1.0234,1.0078,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.3,15.7,13.4,37.125,0,0,33.9697,34.0137,34.1895,34.1895,-0.2637,-2.50,-2.28,-1.44,-2.20,-4.23,-3.56,-0.1250
2,59,0,-8,30.0,13.00,1.0,0,0,0,0,0,1.0000,0.9961,1.0078,1.0078,0.9688,0.9844,0.9766,1.0195,1.0156,1.0234,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.6,13.4,37.000,0,0,34.0137,34.0137,34.1895,34.1895,-0.2637,-0.52,-0.17,-2.34,-4.26,-4.49,-4.38,0.0000
3,59,-1,-8,30.0,13.00,1.0,0,0,0,0,0,1.0273,0.9844,1.0078,0.9922,1.0039,0.9961,0.9883,1.0156,1.0000,0.9883,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.6,13.0,36.875,0,0,34.0137,34.0137,34.1895,34.1895,-0.2656,-0.01,-0.43,-3.00,-4.78,-4.58,-4.78,0.0000
4,60,-8,-8,30.0,13.25,1.0,0,0,0,0,0,1.0000,1.0000,1.0039,0.9883,1.0117,0.9922,0.9688,0.9922,1.0156,1.0039,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.6,13.0,36.750,0,0,34.0137,34.0137,34.1895,34.1895,-0.2656,-1.21,-1.29,-2.70,-3.77,-4.47,-4.17,-0.0625
5,59,-7,-8,30.0,13.25,1.0,0,0,0,0,0,0.9922,1.0313,0.9922,0.9844,0.9883,1.0234,0.9961,0.9961,1.0039,0.9883,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.6,13.0,36.625,0,0,34.0137,34.0137,34.1895,34.1895,-0.2695,-1.97,-1.92,-0.62,-2.83,-2.73,-3.86,-0.0625
6,59,-2,-8,30.0,13.25,1.0,0,0,0,0,0,1.0430,1.0156,0.9766,0.9688,1.0313,1.0313,1.0039,0.9805,1.0039,0.9805,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.7,13.0,36.750,0,0,34.0137,34.0137,34.1895,34.1895,-0.2695,-2.15,-2.04,-1.65,-4.44,-4.47,-4.46,0.0625
7,60,-6,-8,30.0,13.25,1.0,0,0,0,0,0,0.9805,0.9727,0.9648,0.9883,1.0000,1.0430,0.9531,0.9922,1.0508,1.0078,-0.2197,-0.2197,-0.2637,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.7,13.0,36.625,0,0,34.0137,34.0137,34.1895,34.1895,-0.2656,-2.05,-1.55,-2.63,-4.51,-4.58,-4.55,-0.0625
8,59,-2,-8,30.0,13.25,1.0,0,0,0,0,0,0.9844,1.0313,1.0000,1.0234,0.9883,0.9922,1.0195,1.0156,0.9766,1.0078,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0010,-0.001,-0.0021,0.0879,0.0000,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.8,13.4,36.625,0,0,34.0137,34.0137,34.1895,34.1895,-0.2656,-1.07,-0.42,-0.21,-4.45,-4.44,-4.49,-0.0625
9,59,3,-8,30.0,13.50,1.0,0,0,0,0,0,0.9727,1.0039,1.0156,1.0078,1.0195,0.9727,1.0352,0.9844,0.9766,0.9844,-0.2197,-0.2197,-0.2197,-0.2197,-0.2197,-0.0010,-0.0010,-0.0021,-0.001,-0.0010,0.0879,0.0879,0.0115,0.0115,0.0115,0.0115,0.0115,21.3,21.4,15.9,13.4,36.500,0,0,34.0137,34.0137,34.1895,34.1895,-0.2676,-2.24,-2.77,-2.40,-4.59,-4.56,-4.60,0.0625
