"",海拔高度,下降率,无线电高度,计算空速,地速,起落架,空地电门0.2秒,空地电门0.4秒,空地电门0.6秒,空地电门0.8秒,空地电门1秒,着陆G值0.1秒,着陆G值0.2秒,着陆G值0.3秒,着陆G值0.4秒,着陆G值0.5秒,着陆G值0.6秒,着陆G值0.7秒,着陆G值0.8秒,着陆G值0.9秒,着陆G值1秒,姿态（俯仰角）,姿态（俯仰角）.1,姿态（俯仰角）.2,姿态（俯仰角）.3,姿态（俯仰角）.4,杆量,杆量.1,杆量.2,杆量.3,杆量.4,坡度（左负右正）,坡度（左负右正）.1,盘量,盘量.1,盘量.2,盘量.3,盘量.4,左侧发动机油门N1值,右侧发动机油门N1值,磁航向,风向,风速,是否接通了A/T,是否接通了任意侧的A/P,左发油门杆位置（角度）,左发油门杆位置（角度）.1,右发油门杆位置（角度）,右发油门杆位置（角度）.1,RUDD位置,下滑道偏差（C）,下滑道偏差（L）,下滑道偏差（R）,航向道偏差（C）,航向道偏差（L）,航向道偏差（R）,俯仰角率
0,154,-8,-8,30.0,9.75,1.0,0,0,0,0,0,1.0000,0.9727,0.9805,1.0000,1.0000,1.0039,1.0039,0.9922,0.9883,1.0078,-0.0879,-0.0879,-0.0879,-0.0879,-0.0879,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.2637,0.2637,0.0104,0.0094,0.0094,0.0104,0.0094,21.4,21.4,359.2,0.0,0.0,0,0,33.9258,33.9258,34.0576,34.0576,-0.2617,0.85,1.49,-0.72,2.81,2.76,2.81,0.0625
1,154,-14,-8,30.0,10.00,1.0,0,0,0,0,0,0.9805,0.9727,1.0273,0.9883,0.9883,1.0000,1.0078,0.9961,1.0039,1.0156,-0.1318,-0.0879,-0.0879,-0.0879,-0.1318,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.2637,0.2637,0.0104,0.0094,0.0094,0.0104,0.0094,21.3,21.4,359.3,0.0,0.0,0,0,33.9258,33.9258,34.0576,34.0576,-0.2598,-0.28,-0.19,0.37,3.14,3.15,3.14,-0.0625
2,154,-16,-8,30.0,10.00,1.0,0,0,0,0,0,1.0000,1.0273,0.9844,1.0195,0.9922,0.9844,1.0313,0.9922,0.9961,1.0078,-0.1318,-0.1318,-0.1318,-0.0879,-0.1318,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.1758,0.1758,0.0094,0.0094,0.0094,0.0094,0.0094,21.3,21.4,359.3,0.0,0.0,0,0,33.8818,33.8818,34.0576,34.0576,-0.2598,1.71,1.90,-0.23,3.03,2.95,3.04,-0.0625
3,154,-13,-8,30.0,10.25,1.0,0,0,0,0,0,0.9922,0.9922,0.9922,0.9844,1.0234,0.9844,1.0313,0.9883,0.9883,0.9648,-0.1318,-0.1318,-0.0879,-0.0879,-0.1318,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.1758,0.1758,0.0094,0.0094,0.0104,0.0094,0.0094,21.3,21.5,359.3,0.0,0.0,0,0,33.8818,33.8379,34.0576,34.0576,-0.2559,0.34,0.96,0.52,2.92,3.03,2.93,-0.0625
4,154,-9,-8,30.0,10.50,1.0,0,0,0,0,0,0.9766,0.9922,1.0000,0.9727,0.9961,1.0117,1.0117,1.0195,1.0156,1.0078,-0.0879,-0.1318,-0.1318,-0.1318,-0.1318,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.1758,0.1758,0.0094,0.0104,0.0094,0.0094,0.0094,21.3,21.4,359.3,0.0,0.0,0,0,33.8379,33.8379,34.0576,34.0576,-0.2559,1.34,0.84,-0.56,3.70,3.74,3.72,-0.0625
5,154,-5,-8,30.0,10.75,1.0,0,0,0,0,0,1.0078,0.9844,1.0117,1.0039,0.9805,1.0000,1.0078,1.0117,0.9922,1.0117,-0.1318,-0.1318,-0.0879,-0.0879,-0.0879,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.1758,0.1758,0.0094,0.0094,0.0094,0.0094,0.0094,21.3,21.5,359.3,0.0,0.0,0,0,33.8379,33.8379,34.0576,34.0576,-0.2598,-2.43,-1.58,-0.52,3.94,4.03,3.99,0.0000
6,154,-1,-8,30.0,10.75,1.0,0,0,0,0,0,1.0000,0.9805,0.9609,0.9922,1.0352,0.9766,1.0195,0.9688,1.0195,0.9805,-0.0879,-0.0879,-0.0879,-0.0879,-0.0879,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.1758,0.1758,0.0094,0.0104,0.0094,0.0094,0.0094,21.2,21.6,359.2,0.0,0.0,0,0,33.8379,33.8379,34.0576,34.0576,-0.2598,1.08,1.28,-0.58,3.64,3.66,3.73,-0.1250
7,154,1,-8,30.0,11.00,1.0,0,0,0,0,0,0.9688,0.9883,0.9922,1.0117,1.0039,0.9727,1.0117,1.0117,1.0078,1.0273,-0.0879,-0.0879,-0.0879,-0.0879,-0.0879,-0.001,-0.001,-0.0010,-0.0021,-0.001,0.1758,0.1758,0.0094,0.0094,0.0094,0.0094,0.0094,21.3,21.6,359.1,0.0,0.0,0,0,33.8379,33.8379,34.0576,34.0576,-0.2598,2.55,2.67,-0.46,3.17,3.22,3.20,0.0000
8,153,9,-8,30.0,11.25,1.0,0,0,0,0,0,0.9648,1.0195,0.9844,1.0234,0.9922,1.0313,0.9727,1.0156,0.9688,0.9883,-0.0879,-0.1318,-0.1318,-0.1318,-0.1318,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.1758,0.1758,0.0094,0.0094,0.0104,0.0094,0.0094,21.3,21.6,359.0,0.0,0.0,0,0,33.8379,33.8379,34.0576,34.0576,-0.2598,0.26,0.23,0.17,2.98,2.97,2.99,-0.0625
9,154,8,-8,30.0,11.50,1.0,0,0,0,0,0,0.9922,1.0000,0.9766,1.0117,0.9805,1.0156,1.0039,1.0000,1.0117,0.9727,-0.1318,-0.1318,-0.1318,-0.1758,-0.1758,-0.001,-0.001,-0.0010,-0.0010,-0.001,0.1758,0.1758,0.0104,0.0094,0.0094,0.0094,0.0104,21.3,21.6,358.9,0.0,0.0,0,0,33.8379,33.8379,34.0576,34.0576,-0.2578,1.94,2.22,-1.80,2.88,2.82,2.87,-0.0625
